group,berlin_type,tuple_id
g10-30,1,7
g10-30,2,7
g10-30,3,9
g10-30,4,8
g10-30,5,8
g10-30,6,8
g10-30,7,7
g10-30,8,7
g10-30,9,8
g10-30,10,8
g10-30,11,7
g10-30,21,9
g10-30,22,3
g10-30,23,3
g10-30,24,14
g10-30,25,3
g10-30,26,8
g10-30,29,6
g10-30,33,7
g10-30,38,7
g10-30,39,7
g10-30,71,9
g10-30,72,11
g10-30,73,11
g10-30,74,11
g10-30,,11
g40,30,7
g40,31,6
g40,,6
g50,12,9
g50,13,11
g50,14,11
g50,28,8
g50,41,8
g50,42,7
g50,43,7
g50,44,10
g50,45,8
g50,46,13
g50,47,9
g50,49,10
g50,50,10
g50,51,9
g50,60,9
g50,,9
g60,,9
g70,59,3
g70,,3
g80,91,8
g80,92,5
g80,93,6
g80,94,6
g80,99,4
g80,,4
g90,98,1
g90,,1
g100,,16
g101,,16
g102,,15
g110,,2
g121,,8
g122,,7
g130,,13
g140,,11
g150,,12
g160,,3
g161,,3
g162,,3
g170,,4
g171,,1
g172,,8
g173,,9
g174,,15
g180,,11
g190,,8
g200,,13
g300,,7
